,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,6.29,0.0,6.29
1,1,1000,6.33,0.16,6.290212693277411
2,2,1000,6.34,0.32,6.290425386554821
3,4,1000,6.34,0.63,6.290850773109642
4,8,1000,6.37,1.26,6.291701546219285
5,16,1000,6.34,2.53,6.293403092438568
6,32,1000,6.35,5.04,6.296806184877137
7,64,1000,6.37,10.05,6.3036123697542745
8,128,1000,6.41,19.97,6.317224739508549
9,256,1000,10.58,24.2,6.344449479017098
10,512,1000,12.11,42.28,6.398898958034196
11,1024,1000,15.15,67.59,6.507797916068392
12,2048,1000,13.32,153.73,6.725595832136783
13,4096,1000,13.96,293.42,7.1611916642735665
14,8192,1000,13.94,587.57,8.032383328547132
15,16384,1000,14.24,1150.44,9.774766657094265
16,32768,1000,15.37,2131.27,13.25953331418853
17,65536,640,22.74,2882.06,20.229066628377062
18,131072,320,29.15,4497.23,34.168133256754125
19,262144,160,45.19,5800.38,62.04626651350824
20,524288,80,90.53,5791.09,117.8025330270165
21,1048576,40,196.94,5324.23,229.31506605403297
22,2097152,20,335.81,6245.07,452.340132108066
23,4194304,10,858.67,4884.67,898.3902642161319
24,8388608,5,1781.11,4709.77,1790.4905284322638
25,16777216,2,3047.58,5505.09,3574.6910568645276
26,33554432,1,6268.51,5352.85,7143.092113729055
27,67108864,1,12553.05,5346.02,14279.894227458111
28,134217728,1,44865.69,2991.54,28553.49845491622
29,268435456,1,49906.6,5378.76,57100.70690983244
