,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,4.72,0.0,4.72
1,1,1000,4.78,0.21,4.720186138679302
2,2,1000,4.76,0.42,4.720372277358603
3,4,1000,4.78,0.84,4.720744554717207
4,8,1000,4.77,1.68,4.721489109434414
5,16,1000,4.77,3.36,4.722978218868828
6,32,1000,4.79,6.68,4.725956437737657
7,64,1000,4.81,13.31,4.731912875475314
8,128,1000,4.82,26.58,4.743825750950628
9,256,1000,4.85,52.76,4.7676515019012555
10,512,1000,6.42,79.81,4.815303003802511
11,1024,1000,6.56,156.15,4.910606007605023
12,2048,1000,6.86,298.62,5.101212015210047
13,4096,1000,7.53,543.6,5.482424030420094
14,8192,1000,8.29,988.09,6.244848060840188
15,16384,1000,14.57,1124.19,7.769696121680376
16,32768,1000,21.82,1501.53,10.819392243360753
17,65536,640,39.09,1676.53,16.918784486721506
18,131072,320,73.01,1795.31,29.11756897344301
19,262144,160,52.39,5003.69,53.51513794688602
20,524288,80,85.46,6135.2,102.31027589377204
21,1048576,40,141.8,7394.68,199.9005517875441
22,2097152,20,265.37,7902.67,395.0811035750882
23,4194304,10,551.2,7609.38,785.4422071501764
24,8388608,5,1442.98,5813.38,1566.1644143003527
25,16777216,2,3049.95,5500.82,3127.6088286007052
26,33554432,1,6300.35,5325.81,6250.497657201411
27,67108864,1,12650.04,5305.03,12496.275314402821
28,134217728,1,25004.3,5367.78,24987.830628805645
29,268435456,1,49905.46,5378.88,49970.94125761129
