,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,0.22,0.0,0.22
1,1,1000,0.22,4.45,0.22018297188842836
2,2,1000,0.22,8.95,0.2203659437768567
3,4,1000,0.22,17.8,0.22073188755371342
4,8,1000,0.22,35.62,0.22146377510742682
5,16,1000,0.23,70.96,0.22292755021485364
6,32,1000,0.24,133.89,0.22585510042970727
7,64,1000,0.24,266.88,0.23171020085941454
8,128,1000,0.25,503.48,0.2434204017188291
9,256,1000,0.28,914.26,0.2668408034376582
10,512,1000,0.42,1220.27,0.3136816068753164
11,1024,1000,0.44,2311.72,0.4073632137506328
12,2048,1000,0.6,3438.45,0.5947264275012656
13,4096,1000,0.84,4864.32,0.9694528550025311
14,8192,1000,1.47,5582.71,1.7189057100050622
15,16384,1000,2.41,6811.14,3.2178114200101247
16,32768,1000,3.61,9086.84,6.215622840020249
17,65536,640,5.78,11336.92,12.211245680040498
18,131072,320,8.66,15141.65,24.202491360080995
19,262144,160,14.95,17534.21,48.18498272016199
20,524288,80,40.38,12984.15,96.14996544032398
21,1048576,40,81.14,12922.94,192.07993088064796
22,2097152,20,155.1,13521.68,383.93986176129596
23,4194304,10,402.92,10409.9,767.6597235225919
24,8388608,5,1111.16,7549.4,1535.0994470451838
25,16777216,2,2560.27,6552.9,3069.9788940903672
26,33554432,1,5904.12,5683.22,6139.737788180735
27,67108864,1,11806.62,5684.0,12279.25557636147
28,134217728,1,23752.7,5650.63,24558.29115272294
29,268435456,1,49529.73,5419.68,49116.36230544588
