,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,0.39,0.0,0.39
1,1,1000,0.4,2.49,0.39017797520067765
2,2,1000,0.4,4.95,0.39035595040135534
3,4,1000,0.4,10.09,0.3907119008027107
4,8,1000,0.4,20.18,0.3914238016054213
5,16,1000,0.4,39.7,0.3928476032108426
6,32,1000,0.56,56.8,0.3956952064216852
7,64,1000,0.56,115.29,0.40139041284337035
8,128,1000,0.9,141.51,0.4127808256867407
9,256,1000,0.93,274.83,0.43556165137348135
10,512,1000,1.15,446.63,0.4811233027469627
11,1024,1000,1.33,770.95,0.5722466054939254
12,2048,1000,2.08,982.78,0.7544932109878507
13,4096,1000,3.0,1366.64,1.1189864219757015
14,8192,1000,4.81,1704.78,1.847972843951403
15,16384,1000,7.48,2191.18,3.3059456879028057
16,32768,1000,12.95,2529.59,6.221891375805611
17,65536,640,24.66,2657.26,12.053782751611223
18,131072,320,44.72,2930.74,23.717565503222445
19,262144,160,13.16,19920.31,47.04513100644489
20,524288,80,22.9,22896.88,93.70026201288978
21,1048576,40,49.84,21038.78,187.01052402577955
22,2097152,20,141.97,14771.76,373.6310480515591
23,4194304,10,289.95,14465.84,746.8720961031182
24,8388608,5,601.47,13946.75,1493.3541922062366
25,16777216,2,1933.04,8679.19,2986.318384412473
26,33554432,1,5496.25,6104.97,5972.246768824946
27,67108864,1,11769.37,5701.99,11944.103537649891
28,134217728,1,23632.09,5679.47,23887.817075299783
29,268435456,1,47867.19,5607.92,47775.24415059957
