#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.34,0.00
1,1000,5.03,0.20
2,1000,5.04,0.40
4,1000,5.03,0.80
8,1000,5.04,1.59
16,1000,5.02,3.19
32,1000,5.03,6.37
64,1000,5.04,12.69
128,1000,5.10,25.12
256,1000,5.12,50.00
512,1000,5.18,98.80
1024,1000,5.84,175.47
2048,1000,5.59,366.49
4096,1000,6.44,636.02
8192,1000,6.89,1189.38
16384,1000,8.88,1844.40
32768,1000,14.23,2302.68
65536,640,29.22,2242.59
131072,320,36.53,3587.64
262144,160,50.84,5155.90
524288,80,85.57,6127.19
1048576,40,147.62,7103.03
2097152,20,305.82,6857.37
4194304,10,653.73,6416.01
8388608,5,1536.07,5461.09
16777216,2,3301.12,5082.28
33554432,1,6605.25,5079.96
67108864,1,13256.25,5062.43
134217728,1,26227.08,5117.52
268435456,1,52159.05,5146.48
