#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.94,0.00
1,1000,5.01,0.20
2,1000,5.01,0.40
4,1000,5.01,0.80
8,1000,5.01,1.60
16,1000,5.02,3.19
32,1000,5.02,6.37
64,1000,5.03,12.73
128,1000,5.11,25.04
256,1000,5.14,49.83
512,1000,5.20,98.39
1024,1000,5.82,175.95
2048,1000,5.58,367.13
4096,1000,6.45,635.17
8192,1000,6.96,1177.25
16384,1000,9.08,1804.37
32768,1000,14.55,2252.01
65536,640,30.11,2176.65
131072,320,36.85,3556.82
262144,160,51.02,5138.50
524288,80,85.80,6110.86
1048576,40,147.03,7131.75
2097152,20,306.62,6839.53
4194304,10,646.97,6483.00
8388608,5,1549.69,5413.09
16777216,2,3305.61,5075.38
33554432,1,6602.34,5082.20
67108864,1,13239.52,5068.83
134217728,1,26957.94,4978.78
268435456,1,52146.52,5147.72
