#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.27,0.00
1,1000,0.28,3.54
2,1000,0.28,7.19
4,1000,0.28,14.29
8,1000,0.28,28.55
16,1000,0.29,55.19
32,1000,0.29,108.74
64,1000,0.32,202.00
128,1000,0.37,350.38
256,1000,0.43,594.37
512,1000,0.58,883.87
1024,1000,0.69,1484.63
2048,1000,0.79,2589.62
4096,1000,1.69,2429.98
8192,1000,1.98,4145.11
16384,1000,2.56,6411.59
32768,1000,3.52,9310.41
65536,640,6.01,10912.86
131072,320,9.71,13498.59
262144,160,16.76,15640.78
524288,80,36.45,14385.56
1048576,40,97.64,10738.70
2097152,20,226.40,9263.05
4194304,10,540.58,7758.92
8388608,5,1616.48,5189.42
16777216,2,3772.95,4446.71
33554432,1,7804.14,4299.57
67108864,1,15630.86,4293.36
134217728,1,31162.19,4307.07
268435456,1,62656.76,4284.22
