#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.49,0.00
1,1000,0.49,2.03
2,1000,0.49,4.07
4,1000,0.49,8.11
8,1000,0.49,16.34
16,1000,0.49,32.62
32,1000,0.68,46.78
64,1000,0.68,94.37
128,1000,1.22,104.84
256,1000,1.25,204.55
512,1000,1.32,386.47
1024,1000,1.61,634.84
2048,1000,2.26,906.36
4096,1000,3.13,1307.50
8192,1000,5.17,1585.51
16384,1000,4.78,3424.89
32768,1000,5.66,5784.47
65536,640,7.09,9248.15
131072,320,9.61,13641.40
262144,160,14.56,18001.26
524288,80,25.70,20401.02
1048576,40,59.56,17604.37
2097152,20,158.60,13222.80
4194304,10,344.70,12168.06
8388608,5,735.60,11403.74
16777216,2,2372.37,7071.91
33554432,1,6410.65,5234.17
67108864,1,13125.64,5112.81
134217728,1,26556.06,5054.13
268435456,1,51702.56,5191.92
