#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.08,0.00
1,1000,8.09,0.12
2,1000,8.06,0.25
4,1000,8.09,0.49
8,1000,8.08,0.99
16,1000,8.07,1.98
32,1000,8.07,3.97
64,1000,8.28,7.73
128,1000,8.31,15.40
256,1000,8.37,30.58
512,1000,10.30,49.72
1024,1000,10.25,99.89
2048,1000,10.81,189.41
4096,1000,11.87,345.13
8192,1000,13.32,615.14
16384,1000,23.48,697.82
32768,1000,33.23,985.97
65536,640,56.46,1160.78
131072,320,103.79,1262.80
262144,160,110.77,2366.60
524288,80,171.66,3054.15
1048576,40,318.45,3292.75
2097152,20,628.17,3338.49
4194304,10,1236.94,3390.88
8388608,5,2456.99,3414.18
16777216,2,4938.07,3397.53
33554432,1,10406.64,3224.33
67108864,1,20544.19,3266.56
134217728,1,41068.43,3268.15
268435456,1,83000.31,3234.15
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,9.02,0.00
1,1000,9.02,0.11
2,1000,9.02,0.22
4,1000,9.01,0.44
8,1000,9.00,0.89
16,1000,8.95,1.79
32,1000,8.97,3.57
64,1000,9.19,6.96
128,1000,9.23,13.86
256,1000,9.16,27.93
512,1000,10.64,48.11
1024,1000,10.85,94.34
2048,1000,11.17,183.33
4096,1000,12.92,317.01
8192,1000,13.75,595.79
16384,1000,25.13,651.93
32768,1000,38.00,862.33
65536,640,57.48,1140.10
131072,320,102.80,1275.02
262144,160,127.71,2052.60
524288,80,182.42,2873.99
1048576,40,338.17,3100.74
2097152,20,674.88,3107.46
4194304,10,1337.47,3135.99
8388608,5,2634.53,3184.10
16777216,2,5459.30,3073.15
33554432,1,11090.56,3025.49
67108864,1,22112.45,3034.89
134217728,1,43754.10,3067.55
268435456,1,88029.43,3049.38
