#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.23,0.00
1,1000,0.22,4.64
2,1000,0.21,9.36
4,1000,0.21,18.62
8,1000,0.22,37.00
16,1000,0.21,74.82
32,1000,0.25,129.16
64,1000,0.25,260.85
128,1000,0.36,355.35
256,1000,0.38,673.22
512,1000,0.47,1096.89
1024,1000,0.55,1859.03
2048,1000,0.78,2624.69
4096,1000,1.15,3565.46
8192,1000,1.90,4313.10
16384,1000,2.96,5537.43
32768,1000,4.77,6869.68
65536,640,8.13,8059.28
131072,320,14.70,8917.00
262144,160,13.94,18811.41
524288,80,24.73,21197.89
1048576,40,58.50,17925.29
2097152,20,156.74,13379.57
4194304,10,324.16,12938.96
8388608,5,938.90,8934.54
16777216,2,2443.33,6866.54
33554432,1,5257.96,6381.64
67108864,1,11031.54,6083.36
134217728,1,21302.71,6300.50
268435456,1,42629.77,6296.90
