#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.57,0.00
1,1000,15.60,0.06
2,1000,15.63,0.13
4,1000,15.58,0.26
8,1000,15.54,0.51
16,1000,15.58,1.03
32,1000,15.59,2.05
64,1000,15.69,4.08
128,1000,16.22,7.89
256,1000,16.16,15.84
512,1000,16.44,31.14
1024,1000,16.91,60.56
2048,1000,38.32,53.45
4096,1000,38.82,105.50
8192,1000,40.33,203.11
16384,1000,41.38,395.95
32768,1000,48.90,670.13
65536,640,147.04,445.69
131072,320,157.18,833.91
262144,160,214.05,1224.70
524288,80,319.87,1639.06
1048576,40,524.35,1999.76
2097152,20,948.93,2210.03
4194304,10,1974.74,2123.98
8388608,5,4315.11,1944.01
16777216,2,8715.05,1925.09
33554432,1,17480.22,1919.57
67108864,1,34541.76,1942.83
134217728,1,68840.62,1949.69
268435456,1,136948.75,1960.12
