#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,12.40,0.00
1,1000,12.40,0.08
2,1000,12.16,0.16
4,1000,12.32,0.32
8,1000,12.23,0.65
16,1000,12.25,1.31
32,1000,12.32,2.60
64,1000,12.29,5.21
128,1000,12.71,10.07
256,1000,12.63,20.26
512,1000,11.40,44.91
1024,1000,11.34,90.27
2048,1000,14.19,144.37
4096,1000,16.11,254.29
8192,1000,17.75,461.43
16384,1000,23.46,698.50
32768,1000,37.44,875.24
65536,640,80.06,818.54
131072,320,118.91,1102.30
262144,160,214.00,1224.94
524288,80,318.67,1645.23
1048576,40,514.68,2037.34
2097152,20,921.78,2275.10
4194304,10,1785.34,2349.30
8388608,5,3689.49,2273.65
16777216,2,7778.38,2156.90
33554432,1,15926.80,2106.79
67108864,1,32080.78,2091.87
134217728,1,62279.75,2155.08
268435456,1,125339.19,2141.67
