#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.27,0.00
1,1000,1.28,0.78
2,1000,1.31,1.53
4,1000,1.29,3.11
8,1000,1.28,6.26
16,1000,1.28,12.52
32,1000,1.29,24.75
64,1000,1.43,44.75
128,1000,1.48,86.36
256,1000,1.74,147.48
512,1000,1.79,286.69
1024,1000,1.95,525.03
2048,1000,2.54,806.50
4096,1000,3.37,1215.02
8192,1000,4.11,1994.70
16384,1000,5.86,2796.23
32768,1000,10.39,3155.00
65536,640,13.05,5023.01
131072,320,22.19,5908.06
262144,160,33.33,7865.23
524288,80,57.98,9041.88
1048576,40,98.59,10635.44
2097152,20,183.63,11420.58
4194304,10,353.64,11860.43
8388608,5,695.93,12053.74
16777216,2,1382.30,12137.14
33554432,1,2750.73,12198.36
67108864,1,5520.39,12156.55
134217728,1,11027.22,12171.50
268435456,1,22028.68,12185.72
