#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,35.51,0.00
1,1000,35.55,0.03
2,1000,35.48,0.06
4,1000,35.59,0.11
8,1000,35.47,0.23
16,1000,35.68,0.45
32,1000,35.53,0.90
64,1000,12.48,5.13
128,1000,12.03,10.64
256,1000,36.77,6.96
512,1000,35.77,14.31
1024,1000,44.42,23.05
2048,1000,36.89,55.51
4096,1000,37.93,108.00
8192,1000,56.64,144.62
16384,1000,55.47,295.38
32768,1000,68.37,479.27
65536,640,61.09,1072.77
131072,320,113.30,1156.89
262144,160,171.89,1525.06
524288,80,276.05,1899.28
1048576,40,482.85,2171.62
2097152,20,972.95,2155.45
4194304,10,1906.18,2200.37
8388608,5,4393.81,1909.19
16777216,2,9592.24,1749.04
33554432,1,23281.07,1441.28
67108864,1,26655.49,2517.64
134217728,1,52928.60,2535.83
268435456,1,105596.38,2542.09
