#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,11.33,0.00
1,1000,11.13,0.09
2,1000,11.14,0.18
4,1000,11.01,0.36
8,1000,11.05,0.72
16,1000,10.94,1.46
32,1000,10.75,2.98
64,1000,10.67,6.00
128,1000,11.38,11.25
256,1000,11.24,22.77
512,1000,13.87,36.91
1024,1000,14.02,73.02
2048,1000,15.86,129.15
4096,1000,17.08,239.77
8192,1000,19.48,420.60
16384,1000,31.67,517.39
32768,1000,44.89,729.98
65536,640,76.19,860.16
131072,320,140.70,931.56
262144,160,206.48,1269.56
524288,80,329.51,1591.14
1048576,40,516.23,2031.22
2097152,20,913.92,2294.68
4194304,10,1750.73,2395.75
8388608,5,3594.44,2333.77
16777216,2,7396.25,2268.34
33554432,1,14989.54,2238.52
67108864,1,30041.51,2233.87
134217728,1,60052.64,2235.00
268435456,1,118372.87,2267.71
