#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.37,0.00
1,1000,1.37,0.73
2,1000,1.36,1.47
4,1000,1.36,2.93
8,1000,1.36,5.88
16,1000,1.37,11.69
32,1000,1.39,23.01
64,1000,1.66,38.48
128,1000,1.71,74.67
256,1000,1.97,130.03
512,1000,2.06,249.05
1024,1000,2.31,442.52
2048,1000,2.96,692.38
4096,1000,3.94,1039.62
8192,1000,5.50,1489.92
16384,1000,7.29,2248.40
32768,1000,10.00,3278.31
65536,640,14.47,4529.26
131072,320,23.48,5582.73
262144,160,33.26,7881.68
524288,80,55.82,9392.32
1048576,40,98.82,10611.22
2097152,20,185.88,11282.43
4194304,10,355.03,11813.87
8388608,5,697.47,12027.17
16777216,2,1384.18,12120.69
33554432,1,2764.26,12138.68
67108864,1,5505.88,12188.59
134217728,1,11028.52,12170.06
268435456,1,22069.54,12163.17
