#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.60,0.00
1,1000,8.80,0.11
2,1000,8.77,0.23
4,1000,8.79,0.45
8,1000,8.78,0.91
16,1000,8.77,1.82
32,1000,8.78,3.64
64,1000,8.73,7.33
128,1000,9.14,14.00
256,1000,9.16,27.93
512,1000,9.24,55.44
1024,1000,10.55,97.07
2048,1000,9.75,210.02
4096,1000,11.77,347.96
8192,1000,12.48,656.20
16384,1000,17.04,961.23
32768,1000,27.12,1208.11
65536,640,62.45,1049.34
131072,320,84.09,1558.62
262144,160,117.60,2229.21
524288,80,189.33,2769.11
1048576,40,334.85,3131.45
2097152,20,648.24,3235.13
4194304,10,1339.68,3130.83
8388608,5,2646.09,3170.19
16777216,2,5426.42,3091.76
33554432,1,11033.75,3041.07
67108864,1,21752.04,3085.18
134217728,1,43890.84,3057.99
268435456,1,86768.72,3093.69
