#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.53,0.00
1,1000,8.65,0.12
2,1000,8.67,0.23
4,1000,8.68,0.46
8,1000,8.68,0.92
16,1000,8.64,1.85
32,1000,9.22,3.47
64,1000,8.70,7.36
128,1000,9.00,14.23
256,1000,9.04,28.31
512,1000,9.11,56.23
1024,1000,10.04,102.02
2048,1000,9.58,213.82
4096,1000,11.35,361.03
8192,1000,12.11,676.51
16384,1000,16.50,992.71
32768,1000,26.31,1245.57
65536,640,61.68,1062.54
131072,320,86.18,1520.90
262144,160,117.79,2225.52
524288,80,188.21,2785.72
1048576,40,331.59,3162.29
2097152,20,639.46,3279.55
4194304,10,1321.09,3174.88
8388608,5,2640.94,3176.38
16777216,2,5408.71,3101.89
33554432,1,10869.12,3087.13
67108864,1,21109.44,3179.09
134217728,1,43060.86,3116.93
268435456,1,85687.28,3132.73
