#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.56,0.00
1,1000,0.57,1.74
2,1000,0.57,3.49
4,1000,0.57,7.04
8,1000,0.57,13.98
16,1000,0.62,25.98
32,1000,0.68,47.10
64,1000,0.76,84.06
128,1000,0.95,134.78
256,1000,1.00,256.92
512,1000,1.25,410.35
1024,1000,1.52,672.56
2048,1000,1.81,1132.33
4096,1000,2.68,1529.94
8192,1000,3.01,2725.95
16384,1000,3.65,4489.86
32768,1000,4.57,7170.85
65536,640,6.66,9843.93
131072,320,10.28,12756.27
262144,160,17.96,14593.78
524288,80,37.07,14141.73
1048576,40,99.09,10582.25
2097152,20,236.21,8878.38
4194304,10,479.46,8747.94
8388608,5,1217.61,6889.43
16777216,2,3873.10,4331.72
33554432,1,9699.96,3459.23
67108864,1,19833.65,3383.59
134217728,1,38774.60,3461.49
268435456,1,76317.59,3517.35
