#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.24,0.00
1,1000,0.24,4.16
2,1000,0.24,8.35
4,1000,0.24,16.67
8,1000,0.24,33.36
16,1000,0.24,66.76
32,1000,0.29,112.05
64,1000,0.29,223.16
128,1000,0.40,322.60
256,1000,0.40,638.67
512,1000,0.44,1165.62
1024,1000,0.58,1756.70
2048,1000,0.81,2532.18
4096,1000,1.20,3421.84
8192,1000,1.96,4181.54
16384,1000,3.64,4495.43
32768,1000,4.31,7599.89
65536,640,5.99,10937.90
131072,320,8.12,16145.27
262144,160,12.38,21171.57
524288,80,21.64,24231.45
1048576,40,49.32,21258.76
2097152,20,139.22,15063.66
4194304,10,290.63,14431.62
8388608,5,810.77,10346.43
16777216,2,2223.25,7546.25
33554432,1,5171.84,6487.91
67108864,1,10493.01,6395.58
134217728,1,21113.49,6356.97
268435456,1,41833.46,6416.76
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.29,0.00
1,1000,0.28,3.51
2,1000,0.29,6.84
4,1000,0.29,13.92
8,1000,0.29,27.88
16,1000,0.30,54.19
32,1000,0.35,92.39
64,1000,0.35,183.69
128,1000,0.46,275.76
256,1000,0.50,515.86
512,1000,0.57,894.19
1024,1000,0.66,1546.51
2048,1000,0.89,2312.01
4096,1000,1.26,3257.40
8192,1000,1.99,4106.85
16384,1000,4.09,4003.83
32768,1000,4.94,6638.50
65536,640,6.64,9875.97
131072,320,8.76,14954.77
262144,160,13.76,19054.69
524288,80,25.36,20670.47
1048576,40,59.24,17699.85
2097152,20,153.49,13662.79
4194304,10,331.53,12651.36
8388608,5,957.75,8758.62
16777216,2,2519.07,6660.10
33554432,1,5421.27,6189.40
67108864,1,10802.91,6212.11
134217728,1,21684.84,6189.47
268435456,1,42866.05,6262.19
