#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.25,0.00
1,1000,0.23,4.39
2,1000,0.22,8.90
4,1000,0.26,15.19
8,1000,0.23,35.33
16,1000,0.23,70.35
32,1000,0.24,133.36
64,1000,0.24,266.13
128,1000,0.26,501.65
256,1000,0.28,902.16
512,1000,0.42,1216.52
1024,1000,0.44,2328.51
2048,1000,0.57,3563.48
4096,1000,0.82,4968.15
8192,1000,1.48,5531.80
16384,1000,2.41,6806.96
32768,1000,3.63,9018.99
65536,640,5.81,11286.49
131072,320,8.69,15082.06
262144,160,15.04,17434.40
524288,80,40.37,12987.00
1048576,40,81.35,12888.92
2097152,20,153.95,13622.68
4194304,10,393.08,10670.46
8388608,5,1104.94,7591.88
16777216,2,2554.27,6568.31
33554432,1,5904.21,5683.14
67108864,1,11787.85,5693.06
134217728,1,23723.34,5657.62
268435456,1,49409.44,5432.88
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.25,0.00
1,1000,0.26,3.89
2,1000,0.26,7.75
4,1000,0.26,15.58
8,1000,0.26,31.10
16,1000,0.25,62.84
32,1000,0.26,120.87
64,1000,0.27,240.54
128,1000,0.28,464.80
256,1000,0.30,860.55
512,1000,0.54,941.87
1024,1000,0.60,1693.24
2048,1000,0.73,2802.43
4096,1000,0.93,4407.94
8192,1000,1.52,5401.85
16384,1000,2.41,6786.29
32768,1000,3.66,8954.92
65536,640,5.95,11007.31
131072,320,8.89,14752.03
262144,160,15.89,16500.11
524288,80,41.45,12649.59
1048576,40,83.85,12504.75
2097152,20,162.72,12887.95
4194304,10,417.66,10042.41
8388608,5,1029.13,8151.19
16777216,2,2176.60,7707.99
33554432,1,5973.93,5616.81
67108864,1,12446.35,5391.85
134217728,1,25849.48,5192.28
268435456,1,52459.67,5116.99
