#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.42,2.36
2,1000,0.42,4.71
4,1000,0.42,9.42
8,1000,0.42,19.07
16,1000,0.42,37.73
32,1000,0.57,56.13
64,1000,0.57,111.34
128,1000,1.09,117.15
256,1000,1.10,232.22
512,1000,1.20,426.15
1024,1000,1.52,675.83
2048,1000,2.12,966.73
4096,1000,3.00,1364.35
8192,1000,4.66,1759.00
16384,1000,7.24,2263.09
32768,1000,12.46,2628.93
65536,640,23.40,2800.18
131072,320,43.94,2982.76
262144,160,14.60,17957.56
524288,80,25.67,20427.74
1048576,40,60.59,17306.47
2097152,20,155.17,13515.18
4194304,10,332.01,12632.99
8388608,5,752.19,11152.19
16777216,2,2352.94,7130.32
33554432,1,6306.36,5320.73
67108864,1,13249.33,5065.08
134217728,1,25967.28,5168.73
268435456,1,51712.89,5190.88
