#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.51,0.00
1,1000,5.64,0.18
2,1000,5.60,0.36
4,1000,5.63,0.71
8,1000,5.64,1.42
16,1000,5.63,2.84
32,1000,5.61,5.70
64,1000,5.63,11.36
128,1000,5.73,22.35
256,1000,5.75,44.49
512,1000,5.78,88.55
1024,1000,6.43,159.14
2048,1000,6.26,327.35
4096,1000,7.25,565.35
8192,1000,7.69,1065.68
16384,1000,9.89,1657.36
32768,1000,16.04,2043.43
65536,640,30.29,2163.83
131072,320,39.89,3285.95
262144,160,56.23,4662.03
524288,80,89.66,5847.68
1048576,40,156.89,6683.54
2097152,20,293.40,7147.79
4194304,10,654.78,6405.69
8388608,5,1612.12,5203.46
16777216,2,3418.10,4908.35
33554432,1,6903.25,4860.67
67108864,1,13745.34,4882.30
134217728,1,25840.74,5194.03
268435456,1,51482.50,5214.11
