#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.25,0.00
1,1000,0.28,3.60
2,1000,0.28,7.10
4,1000,0.28,14.20
8,1000,0.28,28.41
16,1000,0.30,52.80
32,1000,0.30,105.74
64,1000,0.35,184.65
128,1000,0.40,319.00
256,1000,0.45,562.88
512,1000,0.63,812.20
1024,1000,0.73,1410.72
2048,1000,0.91,2243.72
4096,1000,1.87,2194.90
8192,1000,2.17,3773.33
16384,1000,2.78,5900.79
32768,1000,3.67,8932.77
65536,640,5.88,11149.63
131072,320,8.88,14767.20
262144,160,19.27,13600.75
524288,80,39.23,13363.53
1048576,40,92.00,11397.52
2097152,20,216.40,9691.16
4194304,10,517.17,8110.16
8388608,5,1600.88,5240.01
16777216,2,3872.33,4332.59
33554432,1,8597.01,3903.03
67108864,1,16501.91,4066.73
134217728,1,32591.57,4118.17
268435456,1,64382.92,4169.36
