#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.44,0.00
1,1000,0.44,2.26
2,1000,0.45,4.48
4,1000,0.44,9.02
8,1000,0.45,17.86
16,1000,0.44,36.31
32,1000,0.64,49.86
64,1000,0.66,97.49
128,1000,1.03,124.12
256,1000,1.11,229.99
512,1000,1.20,425.57
1024,1000,1.51,679.87
2048,1000,2.25,910.48
4096,1000,3.25,1259.46
8192,1000,5.18,1581.28
16384,1000,4.54,3607.29
32768,1000,5.30,6180.82
65536,640,6.70,9776.83
131072,320,8.64,15163.08
262144,160,12.96,20222.07
524288,80,22.35,23454.88
1048576,40,50.76,20657.61
2097152,20,143.17,14647.82
4194304,10,292.83,14323.46
8388608,5,601.89,13937.11
16777216,2,1841.49,9110.69
33554432,1,5497.75,6103.30
67108864,1,11923.58,5628.25
134217728,1,23837.97,5630.42
268435456,1,47849.35,5610.01
