#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,9.14,0.00
1,1000,9.22,0.11
2,1000,9.15,0.22
4,1000,9.20,0.43
8,1000,9.17,0.87
16,1000,9.09,1.76
32,1000,9.20,3.48
64,1000,9.28,6.90
128,1000,9.42,13.59
256,1000,15.30,16.73
512,1000,17.92,28.58
1024,1000,23.85,42.94
2048,1000,20.85,98.22
4096,1000,20.74,197.49
8192,1000,21.09,388.38
16384,1000,21.87,749.25
32768,1000,28.17,1163.24
65536,640,45.64,1435.99
131072,320,63.94,2049.89
262144,160,97.36,2692.47
524288,80,169.09,3100.70
1048576,40,365.89,2865.81
2097152,20,734.24,2856.22
4194304,10,1445.13,2902.37
8388608,5,3111.50,2696.00
16777216,2,4938.90,3396.95
33554432,1,10361.81,3238.28
67108864,1,21431.60,3131.30
134217728,1,41107.12,3265.07
268435456,1,84501.30,3176.70
