#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.69,0.00
1,1000,0.43,2.35
2,1000,0.43,4.68
4,1000,0.43,9.28
8,1000,0.43,18.67
16,1000,0.43,37.16
32,1000,0.48,67.28
64,1000,0.48,134.37
128,1000,0.59,215.96
256,1000,0.62,412.99
512,1000,0.82,625.97
1024,1000,0.90,1142.03
2048,1000,1.07,1909.27
4096,1000,1.47,2789.44
8192,1000,2.02,4063.81
16384,1000,3.29,4981.10
32768,1000,5.04,6500.43
65536,640,9.23,7098.18
131072,320,17.95,7300.91
262144,160,34.30,7643.20
524288,80,83.33,6292.07
1048576,40,169.25,6195.58
2097152,20,336.43,6233.64
4194304,10,668.95,6270.00
8388608,5,1386.13,6051.81
16777216,2,3754.41,4468.67
33554432,1,7920.34,4236.49
67108864,1,15928.16,4213.22
134217728,1,31842.81,4215.01
268435456,1,63730.60,4212.03
