#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.19,0.00
1,1000,0.19,5.21
2,1000,0.19,10.43
4,1000,0.19,20.88
8,1000,0.19,41.68
16,1000,0.20,81.77
32,1000,0.23,138.77
64,1000,0.23,281.32
128,1000,0.32,399.40
256,1000,0.33,766.92
512,1000,0.40,1269.61
1024,1000,0.51,2007.18
2048,1000,0.76,2708.42
4096,1000,1.13,3621.67
8192,1000,1.88,4350.32
16384,1000,2.98,5500.25
32768,1000,4.83,6777.44
65536,640,8.38,7823.15
131072,320,15.20,8623.24
262144,160,12.61,20791.82
524288,80,22.19,23621.94
1048576,40,49.38,21234.13
2097152,20,143.39,14625.80
4194304,10,317.83,13196.69
8388608,5,887.05,9456.72
16777216,2,2368.18,7084.43
33554432,1,5355.76,6265.12
67108864,1,10786.42,6221.61
134217728,1,22611.30,5935.87
268435456,1,42811.26,6270.21
