#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.60,0.00
1,1000,5.65,0.18
2,1000,5.65,0.35
4,1000,5.65,0.71
8,1000,5.65,1.42
16,1000,5.66,2.83
32,1000,5.66,5.66
64,1000,5.66,11.30
128,1000,5.73,22.33
256,1000,5.77,44.40
512,1000,5.80,88.31
1024,1000,6.47,158.24
2048,1000,6.21,329.54
4096,1000,7.21,567.97
8192,1000,7.58,1081.38
16384,1000,9.82,1669.27
32768,1000,15.89,2062.40
65536,640,30.37,2157.74
131072,320,40.57,3230.65
262144,160,55.96,4684.42
524288,80,89.30,5871.24
1048576,40,156.32,6707.98
2097152,20,293.64,7141.98
4194304,10,660.21,6353.02
8388608,5,1608.19,5216.19
16777216,2,3412.65,4916.18
33554432,1,6873.32,4881.84
67108864,1,13723.58,4890.04
134217728,1,26693.27,5028.15
268435456,1,53121.48,5053.24
