#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,11.59,0.00
1,1000,11.66,0.09
2,1000,11.62,0.17
4,1000,11.68,0.34
8,1000,11.69,0.68
16,1000,11.63,1.38
32,1000,11.64,2.75
64,1000,10.43,6.13
128,1000,10.50,12.19
256,1000,10.58,24.19
512,1000,9.99,51.27
1024,1000,10.29,99.51
2048,1000,12.41,165.02
4096,1000,13.38,306.04
8192,1000,15.28,536.05
16384,1000,18.28,896.15
32768,1000,28.37,1155.20
65536,640,61.49,1065.83
131072,320,83.97,1560.92
262144,160,152.34,1720.75
524288,80,245.87,2132.39
1048576,40,433.79,2417.22
2097152,20,839.61,2497.76
4194304,10,1710.64,2451.90
8388608,5,3601.76,2329.03
16777216,2,7398.19,2267.75
33554432,1,15488.94,2166.35
67108864,1,30187.79,2223.05
134217728,1,60124.82,2232.32
268435456,1,113998.68,2354.72
