#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.13,0.00
1,1000,1.13,0.88
2,1000,1.13,1.76
4,1000,1.13,3.53
8,1000,1.13,7.08
16,1000,1.13,14.10
32,1000,1.15,27.85
64,1000,1.33,48.02
128,1000,1.38,92.45
256,1000,1.63,156.64
512,1000,1.72,298.17
1024,1000,1.89,540.82
2048,1000,2.61,784.27
4096,1000,3.40,1204.58
8192,1000,4.38,1870.32
16384,1000,6.02,2722.05
32768,1000,9.45,3469.34
65536,640,12.86,5095.93
131072,320,21.96,5969.30
262144,160,32.42,8085.21
524288,80,54.16,9680.06
1048576,40,97.08,10801.05
2097152,20,185.56,11301.83
4194304,10,353.06,11879.98
8388608,5,695.18,12066.88
16777216,2,1384.87,12114.67
33554432,1,2758.13,12165.66
67108864,1,5505.54,12189.33
134217728,1,10987.51,12215.48
268435456,1,21990.20,12207.05
