#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,12.73,0.00
1,1000,12.68,0.08
2,1000,12.72,0.16
4,1000,12.66,0.32
8,1000,12.63,0.63
16,1000,12.62,1.27
32,1000,12.71,2.52
64,1000,12.69,5.04
128,1000,12.49,10.25
256,1000,20.70,12.37
512,1000,31.69,16.16
1024,1000,45.47,22.52
2048,1000,32.20,63.61
4096,1000,30.47,134.42
8192,1000,47.95,170.85
16384,1000,28.55,573.80
32768,1000,54.45,601.82
65536,640,57.11,1147.52
131072,320,115.91,1130.84
262144,160,161.02,1628.07
524288,80,258.34,2029.45
1048576,40,470.32,2229.49
2097152,20,881.92,2377.95
4194304,10,1825.76,2297.29
8388608,5,3281.09,2556.66
16777216,2,7609.96,2204.64
33554432,1,12357.16,2715.38
67108864,1,24521.60,2736.72
134217728,1,48781.20,2751.42
268435456,1,96415.43,2784.15
