#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,9.51,0.00
1,1000,8.42,0.12
2,1000,8.26,0.24
4,1000,7.90,0.51
8,1000,7.93,1.01
16,1000,7.86,2.03
32,1000,7.90,4.05
64,1000,7.92,8.08
128,1000,7.95,16.11
256,1000,8.03,31.88
512,1000,10.81,47.37
1024,1000,10.99,93.20
2048,1000,12.83,159.63
4096,1000,13.88,295.18
8192,1000,15.83,517.58
16384,1000,25.90,632.50
32768,1000,37.13,882.55
65536,640,63.15,1037.72
131072,320,118.44,1106.68
262144,160,158.84,1650.38
524288,80,248.98,2105.73
1048576,40,419.13,2501.77
2097152,20,759.34,2761.82
4194304,10,1435.68,2921.47
8388608,5,2914.08,2878.65
16777216,2,6354.68,2640.14
33554432,1,13044.32,2572.34
67108864,1,25721.08,2609.10
134217728,1,51043.42,2629.48
268435456,1,98036.44,2738.12
