#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.00,0.00
1,1000,0.98,1.02
2,1000,1.00,2.00
4,1000,1.01,3.97
8,1000,0.99,8.11
16,1000,1.00,16.02
32,1000,1.00,31.86
64,1000,1.17,54.50
128,1000,1.21,106.05
256,1000,1.42,180.06
512,1000,1.49,342.60
1024,1000,1.66,616.63
2048,1000,2.37,863.52
4096,1000,3.24,1265.61
8192,1000,4.57,1791.29
16384,1000,6.43,2549.11
32768,1000,8.60,3808.22
65536,640,12.47,5255.49
131072,320,18.88,6940.82
262144,160,31.97,8200.33
524288,80,53.86,9733.87
1048576,40,96.89,10822.12
2097152,20,182.27,11505.86
4194304,10,352.19,11909.15
8388608,5,693.04,12104.03
16777216,2,1379.15,12164.93
33554432,1,2758.36,12164.62
67108864,1,5513.84,12170.99
134217728,1,11023.97,12175.08
268435456,1,22045.71,12176.31
