#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,7.95,0.00
1,1000,7.94,0.13
2,1000,8.01,0.25
4,1000,7.97,0.50
8,1000,7.94,1.01
16,1000,7.96,2.01
32,1000,7.97,4.02
64,1000,8.00,8.00
128,1000,8.39,15.25
256,1000,8.42,30.41
512,1000,8.47,60.43
1024,1000,9.49,107.86
2048,1000,9.00,227.55
4096,1000,10.85,377.64
8192,1000,11.42,717.10
16384,1000,15.68,1044.86
32768,1000,25.61,1279.46
65536,640,56.47,1160.59
131072,320,78.30,1674.02
262144,160,112.44,2331.41
524288,80,172.77,3034.61
1048576,40,304.17,3447.37
2097152,20,601.35,3487.40
4194304,10,1231.50,3405.86
8388608,5,2427.53,3455.62
16777216,2,5044.81,3325.64
33554432,1,10313.84,3253.34
67108864,1,20154.81,3329.67
134217728,1,41051.56,3269.49
268435456,1,80458.67,3336.31
