#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,7.95,0.00
1,1000,8.05,0.12
2,1000,8.03,0.25
4,1000,8.03,0.50
8,1000,8.02,1.00
16,1000,8.00,2.00
32,1000,8.03,3.99
64,1000,8.04,7.96
128,1000,8.54,14.98
256,1000,8.59,29.81
512,1000,8.61,59.46
1024,1000,9.56,107.15
2048,1000,9.09,225.24
4096,1000,10.84,377.87
8192,1000,11.64,703.65
16384,1000,15.54,1054.47
32768,1000,25.91,1264.86
65536,640,56.43,1161.32
131072,320,77.70,1686.95
262144,160,111.53,2350.39
524288,80,171.18,3062.80
1048576,40,304.57,3442.84
2097152,20,604.03,3471.92
4194304,10,1224.91,3424.17
8388608,5,2432.49,3448.57
16777216,2,5080.25,3302.44
33554432,1,10289.02,3261.19
67108864,1,20481.50,3276.56
134217728,1,41345.72,3246.23
268435456,1,80593.90,3330.72
