#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.54,0.00
1,1000,0.61,1.63
2,1000,0.61,3.30
4,1000,0.62,6.49
8,1000,0.61,13.18
16,1000,0.63,25.31
32,1000,0.65,49.36
64,1000,0.90,71.10
128,1000,1.04,122.95
256,1000,1.13,227.55
512,1000,1.19,428.84
1024,1000,1.50,682.91
2048,1000,1.62,1261.47
4096,1000,2.75,1490.74
8192,1000,3.43,2385.85
16384,1000,3.76,4362.67
32768,1000,5.05,6489.56
65536,640,6.40,10232.44
131072,320,11.09,11817.09
262144,160,20.10,13039.32
524288,80,39.29,13344.77
1048576,40,90.64,11568.12
2097152,20,216.70,9677.85
4194304,10,439.54,9542.49
8388608,5,1078.21,7780.13
16777216,2,3799.13,4416.07
33554432,1,9761.59,3437.39
67108864,1,19321.44,3473.29
134217728,1,38470.62,3488.84
268435456,1,75983.17,3532.83
