#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.24,0.00
1,1000,0.24,4.24
2,1000,0.24,8.51
4,1000,0.24,17.00
8,1000,0.23,34.05
16,1000,0.24,68.08
32,1000,0.28,113.36
64,1000,0.28,225.66
128,1000,0.37,350.10
256,1000,0.46,555.11
512,1000,0.48,1073.67
1024,1000,0.60,1719.09
2048,1000,0.83,2472.57
4096,1000,1.20,3418.45
8192,1000,1.95,4200.29
16384,1000,3.55,4611.90
32768,1000,4.24,7722.25
65536,640,5.97,10976.22
131072,320,7.84,16722.21
262144,160,12.36,21212.38
524288,80,21.76,24096.31
1048576,40,49.08,21366.60
2097152,20,139.17,15068.84
4194304,10,291.06,14410.58
8388608,5,835.12,10044.82
16777216,2,2208.36,7597.15
33554432,1,5151.31,6513.77
67108864,1,10451.50,6420.98
134217728,1,20943.70,6408.50
268435456,1,41913.42,6404.52
