#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,6.29,0.00
1,1000,6.33,0.16
2,1000,6.34,0.32
4,1000,6.34,0.63
8,1000,6.37,1.26
16,1000,6.34,2.53
32,1000,6.35,5.04
64,1000,6.37,10.05
128,1000,6.41,19.97
256,1000,10.58,24.20
512,1000,12.11,42.28
1024,1000,15.15,67.59
2048,1000,13.32,153.73
4096,1000,13.96,293.42
8192,1000,13.94,587.57
16384,1000,14.24,1150.44
32768,1000,15.37,2131.27
65536,640,22.74,2882.06
131072,320,29.15,4497.23
262144,160,45.19,5800.38
524288,80,90.53,5791.09
1048576,40,196.94,5324.23
2097152,20,335.81,6245.07
4194304,10,858.67,4884.67
8388608,5,1781.11,4709.77
16777216,2,3047.58,5505.09
33554432,1,6268.51,5352.85
67108864,1,12553.05,5346.02
134217728,1,44865.69,2991.54
268435456,1,49906.60,5378.76
