#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.72,0.00
1,1000,4.78,0.21
2,1000,4.76,0.42
4,1000,4.78,0.84
8,1000,4.77,1.68
16,1000,4.77,3.36
32,1000,4.79,6.68
64,1000,4.81,13.31
128,1000,4.82,26.58
256,1000,4.85,52.76
512,1000,6.42,79.81
1024,1000,6.56,156.15
2048,1000,6.86,298.62
4096,1000,7.53,543.60
8192,1000,8.29,988.09
16384,1000,14.57,1124.19
32768,1000,21.82,1501.53
65536,640,39.09,1676.53
131072,320,73.01,1795.31
262144,160,52.39,5003.69
524288,80,85.46,6135.20
1048576,40,141.80,7394.68
2097152,20,265.37,7902.67
4194304,10,551.20,7609.38
8388608,5,1442.98,5813.38
16777216,2,3049.95,5500.82
33554432,1,6300.35,5325.81
67108864,1,12650.04,5305.03
134217728,1,25004.30,5367.78
268435456,1,49905.46,5378.88
