#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.22,0.00
1,1000,0.22,4.45
2,1000,0.22,8.95
4,1000,0.22,17.80
8,1000,0.22,35.62
16,1000,0.23,70.96
32,1000,0.24,133.89
64,1000,0.24,266.88
128,1000,0.25,503.48
256,1000,0.28,914.26
512,1000,0.42,1220.27
1024,1000,0.44,2311.72
2048,1000,0.60,3438.45
4096,1000,0.84,4864.32
8192,1000,1.47,5582.71
16384,1000,2.41,6811.14
32768,1000,3.61,9086.84
65536,640,5.78,11336.92
131072,320,8.66,15141.65
262144,160,14.95,17534.21
524288,80,40.38,12984.15
1048576,40,81.14,12922.94
2097152,20,155.10,13521.68
4194304,10,402.92,10409.90
8388608,5,1111.16,7549.40
16777216,2,2560.27,6552.90
33554432,1,5904.12,5683.22
67108864,1,11806.62,5684.00
134217728,1,23752.70,5650.63
268435456,1,49529.73,5419.68
