#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.41,0.00
1,1000,0.40,2.52
2,1000,0.40,5.04
4,1000,0.40,10.00
8,1000,0.40,20.08
16,1000,0.40,40.04
32,1000,0.57,56.17
64,1000,0.57,112.90
128,1000,0.89,143.57
256,1000,0.92,277.24
512,1000,1.13,451.26
1024,1000,1.34,764.03
2048,1000,2.11,970.95
4096,1000,3.01,1360.68
8192,1000,4.80,1707.68
16384,1000,7.91,2071.19
32768,1000,13.68,2395.64
65536,640,25.16,2605.27
131072,320,48.74,2689.36
262144,160,14.58,17975.02
524288,80,25.65,20438.79
1048576,40,53.97,19430.52
2097152,20,143.26,14639.17
4194304,10,306.44,13687.34
8388608,5,643.64,13033.06
16777216,2,2108.90,7955.44
33554432,1,6405.93,5238.02
67108864,1,12492.23,5372.05
134217728,1,26475.49,5069.51
268435456,1,49573.20,5414.93
