,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,5.5,0.0,-1.7986454731983983
1,1,1000,4.98,0.2,-1.7984514030138308
2,2,1000,4.99,0.4,-1.798257332829263
3,4,1000,5.0,0.8,-1.797869192460128
4,8,1000,5.01,1.6,-1.7970929117218575
5,16,1000,5.0,3.2,-1.7955403502453167
6,32,1000,5.01,6.38,-1.7924352272922353
7,64,1000,5.0,12.79,-1.786224981386072
8,128,1000,5.07,25.23,-1.7738044895737457
9,256,1000,5.13,49.89,-1.7489635059490931
10,512,1000,5.16,99.16,-1.699281538699788
11,1024,1000,5.83,175.65,-1.5999176042011778
12,2048,1000,5.53,370.57,-1.401189735203957
13,4096,1000,6.43,636.63,-1.0037339972095158
14,8192,1000,6.87,1192.38,-0.2088225212206336
15,16384,1000,9.0,1820.54,1.381000430757131
16,32768,1000,14.42,2272.28,4.5606463347126605
17,65536,640,29.19,2245.0,10.91993814262372
18,131072,320,36.74,3567.15,23.638521758445837
19,262144,160,50.79,5161.25,49.07568899009007
20,524288,80,85.01,6167.15,99.95002345337855
21,1048576,40,146.77,7144.29,201.69869237995547
22,2097152,20,304.77,6881.03,405.19603023310935
23,4194304,10,653.1,6422.13,812.1907059394172
24,8388608,5,1555.16,5394.05,1626.1800573520327
25,16777216,2,3306.61,5073.85,3254.1587601772635
26,33554432,1,6590.6,5091.26,6510.116165827726
27,67108864,1,13208.63,5080.68,13022.03097712865
28,134217728,1,26006.38,5160.95,26045.8605997305
29,268435456,1,52058.99,5156.37,52093.51984493419
