,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,0.26,0.0,-31.770928612947504
1,1,1000,0.28,3.52,-31.770691073859116
2,2,1000,0.29,7.0,-31.77045353477073
3,4,1000,0.28,14.06,-31.769978456593954
4,8,1000,0.28,28.07,-31.769028300240404
5,16,1000,0.29,54.34,-31.767127987533303
6,32,1000,0.29,108.79,-31.763327362119103
7,64,1000,0.32,198.61,-31.755726111290706
8,128,1000,0.37,345.48,-31.740523609633904
9,256,1000,0.44,581.56,-31.710118606320304
10,512,1000,0.58,878.75,-31.649308599693107
11,1024,1000,0.68,1500.75,-31.527688586438707
12,2048,1000,0.82,2500.23,-31.284448559929913
13,4096,1000,1.71,2402.28,-30.797968506912323
14,8192,1000,1.97,4161.93,-29.825008400877138
15,16384,1000,2.51,6523.84,-27.879088188806776
16,32768,1000,3.56,9203.8,-23.987247764666044
17,65536,640,5.36,12216.65,-16.203566916384585
18,131072,320,9.27,14146.11,-0.6362052198216652
19,262144,160,16.72,15678.5,30.498518173304173
20,524288,80,35.94,14586.9,92.76796495955585
21,1048576,40,97.19,10789.18,217.3068585320592
22,2097152,20,228.85,9163.76,466.3846456770659
23,4194304,10,543.17,7721.87,964.5402199670793
24,8388608,5,1642.48,5107.29,1960.8513685471062
25,16777216,2,3874.83,4329.79,3953.47366570716
26,33554432,1,8122.02,4131.29,7938.718260027267
27,67108864,1,16435.08,4083.27,15909.207448667481
28,134217728,1,32044.25,4188.51,31850.185825947912
29,268435456,1,63504.61,4227.02,63732.14258050877
