,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,0.49,0.0,-85.5142043593343
1,1,1000,0.49,2.03,-85.51401042290999
2,2,1000,0.49,4.07,-85.51381648648568
3,4,1000,0.49,8.11,-85.51342861363706
4,8,1000,0.49,16.34,-85.5126528679398
5,16,1000,0.49,32.62,-85.51110137654533
6,32,1000,0.68,46.78,-85.50799839375634
7,64,1000,0.68,94.37,-85.50179242817839
8,128,1000,1.22,104.84,-85.48938049702248
9,256,1000,1.25,204.55,-85.46455663471066
10,512,1000,1.32,386.47,-85.41490891008701
11,1024,1000,1.61,634.84,-85.31561346083971
12,2048,1000,2.26,906.36,-85.11702256234513
13,4096,1000,3.13,1307.5,-84.71984076535597
14,8192,1000,5.17,1585.51,-83.92547717137762
15,16384,1000,4.78,3424.89,-82.33674998342096
16,32768,1000,5.66,5784.47,-79.1592956075076
17,65536,640,7.09,9248.15,-72.8043868556809
18,131072,320,9.61,13641.4,-60.09456935202752
19,262144,160,14.56,18001.26,-34.67493434472073
20,524288,80,25.7,20401.02,16.164335669892836
21,1048576,40,59.56,17604.37,117.84287569911997
22,2097152,20,158.6,13222.8,321.19995575757423
23,4194304,10,344.7,12168.06,727.9141158744828
24,8388608,5,735.6,11403.74,1541.3424361082998
25,16777216,2,2372.37,7071.91,3168.199076575934
26,33554432,1,6410.65,5234.17,6421.912357511203
27,67108864,1,13125.64,5112.81,12929.338919381738
28,134217728,1,26556.06,5054.13,25944.192043122814
29,268435456,1,51702.56,5191.92,51973.89829060496
