,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,9.02,0.0,7.614578138799694
1,1,1000,9.02,0.11,7.614905751805918
2,2,1000,9.02,0.22,7.615233364812141
3,4,1000,9.01,0.44,7.615888590824588
4,8,1000,9.0,0.89,7.6171990428494825
5,16,1000,8.95,1.79,7.619819946899271
6,32,1000,8.97,3.57,7.625061754998847
7,64,1000,9.19,6.96,7.635545371198
8,128,1000,9.23,13.86,7.6565126035963065
9,256,1000,9.16,27.93,7.698447068392919
10,512,1000,10.64,48.11,7.782315997986142
11,1024,1000,10.85,94.34,7.950053857172591
12,2048,1000,11.17,183.33,8.285529575545487
13,4096,1000,12.92,317.01,8.956481012291281
14,8192,1000,13.75,595.79,10.298383885782869
15,16384,1000,25.13,651.93,12.98218963276604
16,32768,1000,38.0,862.33,18.349801126732388
17,65536,640,57.48,1140.1,29.08502411466508
18,131072,320,102.8,1275.02,50.55547009053047
19,262144,160,127.71,2052.6,93.49636204226125
20,524288,80,182.42,2873.99,179.3781459457228
21,1048576,40,338.17,3100.74,351.1417137526459
22,2097152,20,674.88,3107.46,694.6688493664922
23,4194304,10,1337.47,3135.99,1381.7231205941846
24,8388608,5,2634.53,3184.1,2755.831663049569
25,16777216,2,5459.3,3073.15,5504.048747960339
26,33554432,1,11090.56,3025.49,11000.48291778188
27,67108864,1,22112.45,3034.89,21993.351257424958
28,134217728,1,43754.1,3067.55,43979.08793671111
29,268435456,1,88029.43,3049.38,87950.56129528343
