,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,0.44,0.0,-103.13332962164745
1,1,1000,0.45,2.24,-103.13309529613734
2,2,1000,0.45,4.46,-103.13286097062723
3,4,1000,0.45,8.93,-103.13239231960704
4,8,1000,0.45,17.72,-103.13145501756662
5,16,1000,0.45,35.57,-103.12958041348578
6,32,1000,0.5,64.48,-103.12583120532412
7,64,1000,0.48,132.38,-103.11833278900079
8,128,1000,0.6,213.56,-103.10333595635413
9,256,1000,0.63,408.95,-103.07334229106083
10,512,1000,0.92,554.6,-103.0133549604742
11,1024,1000,0.98,1045.56,-102.89338029930096
12,2048,1000,1.09,1880.07,-102.65343097695447
13,4096,1000,1.55,2637.47,-102.17353233226149
14,8192,1000,2.04,4007.99,-101.21373504287551
15,16384,1000,3.49,4691.66,-99.29414046410358
16,32768,1000,5.55,5899.76,-95.45495130655972
17,65536,640,9.43,6949.41,-87.776572991472
18,131072,320,15.56,8422.98,-72.41981636129654
19,262144,160,28.49,9200.34,-41.70630310094562
20,524288,80,67.99,7711.35,19.72072341975621
21,1048576,40,133.33,7864.72,142.57477646115987
22,2097152,20,261.19,8029.26,388.28288254396716
23,4194304,10,518.35,8091.69,879.6990947095818
24,8388608,5,1093.7,7669.95,1862.5315190408112
25,16777216,2,2361.34,7104.97,3828.1963677032695
26,33554432,1,7887.43,4254.17,7759.526065028187
27,67108864,1,15934.75,4211.48,15622.185459678021
28,134217728,1,31753.16,4226.91,31347.50424897769
29,268435456,1,62623.31,4286.51,62798.14182757703
