,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,15.57,0.0,42.978541494128784
1,1,1000,15.6,0.06,42.97905229955253
2,2,1000,15.63,0.13,42.97956310497627
3,4,1000,15.58,0.26,42.98058471582375
4,8,1000,15.54,0.51,42.98262793751872
5,16,1000,15.58,1.03,42.986714380908666
6,32,1000,15.59,2.05,42.99488726768855
7,64,1000,15.69,4.08,43.0112330412483
8,128,1000,16.22,7.89,43.04392458836783
9,256,1000,16.16,15.84,43.109307682606875
10,512,1000,16.44,31.14,43.24007387108496
11,1024,1000,16.91,60.56,43.50160624804114
12,2048,1000,38.32,53.45,44.02467100195349
13,4096,1000,38.82,105.5,45.07080050977821
14,8192,1000,40.33,203.11,47.16305952542763
15,16384,1000,41.38,395.95,51.34757755672647
16,32768,1000,48.9,670.13,59.71661361932416
17,65536,640,147.04,445.69,76.45468574451954
18,131072,320,157.18,833.91,109.93082999491028
19,262144,160,214.05,1224.7,176.88311849569178
20,524288,80,319.87,1639.06,310.78769549725473
21,1048576,40,524.35,1999.76,578.5968495003807
22,2097152,20,948.93,2210.03,1114.2151575066327
23,4194304,10,1974.74,2123.98,2185.4517735191366
24,8388608,5,4315.11,1944.01,4327.925005544144
25,16777216,2,8715.05,1925.09,8612.87146959416
26,33554432,1,17480.22,1919.57,17182.76439769419
27,67108864,1,34541.76,1942.83,34322.55025389425
28,134217728,1,68840.62,1949.69,68602.12196629438
29,268435456,1,136948.75,1960.12,137161.2653910946
