,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,10.91,0.0,11.897942007499175
1,1,1000,10.89,0.09,11.898386672561058
2,2,1000,10.84,0.18,11.89883133762294
3,4,1000,10.83,0.37,11.899720667746704
4,8,1000,10.83,0.74,11.901499327994234
5,16,1000,10.84,1.48,11.905056648489294
6,32,1000,10.85,2.95,11.912171289479414
7,64,1000,10.94,5.85,11.926400571459652
8,128,1000,10.88,11.77,11.954859135420127
9,256,1000,10.92,23.44,12.01177626334108
10,512,1000,11.3,45.3,12.125610519182985
11,1024,1000,11.92,85.94,12.353279030866794
12,2048,1000,14.72,139.16,12.808616054234413
13,4096,1000,15.61,262.36,13.719290100969653
14,8192,1000,17.87,458.47,15.54063819444013
15,16384,1000,23.47,698.06,19.183334381381083
16,32768,1000,38.28,855.9,26.468726755262992
17,65536,640,80.17,817.46,41.039511503026816
18,131072,320,118.71,1104.11,70.18108099855445
19,262144,160,210.63,1244.57,128.46421998960972
20,524288,80,319.15,1642.76,245.03049797172028
21,1048576,40,517.07,2027.91,478.1630539359414
22,2097152,20,931.72,2250.84,944.4281658643836
23,4194304,10,1774.73,2363.35,1876.9583897212678
24,8388608,5,3643.65,2302.25,3742.018837435037
25,16777216,2,7388.32,2270.78,7472.139732862574
26,33554432,1,15131.93,2217.46,14932.38152371765
27,67108864,1,30033.43,2234.47,29852.865105427798
28,134217728,1,59062.15,2272.48,59693.8322688481
29,268435456,1,119631.12,2243.86,119375.7665956887
