,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,35.51,0.0,498.5231260841827
1,1,1000,35.55,0.03,498.5235211918006
2,2,1000,35.48,0.06,498.5239162994185
3,4,1000,35.59,0.11,498.52470651465427
4,8,1000,35.47,0.23,498.5262869451259
5,16,1000,35.68,0.45,498.529447806069
6,32,1000,35.53,0.9,498.5357695279554
7,64,1000,12.48,5.13,498.54841297172806
8,128,1000,12.03,10.64,498.5736998592734
9,256,1000,36.77,6.96,498.62427363436404
10,512,1000,35.77,14.31,498.72542118454544
11,1024,1000,44.42,23.05,498.9277162849081
12,2048,1000,36.89,55.51,499.3323064856336
13,4096,1000,37.93,108.0,500.14148688708445
14,8192,1000,56.64,144.62,501.75984768998615
15,16384,1000,55.47,295.38,504.9965692957896
16,32768,1000,68.37,479.27,511.47001250739646
17,65536,640,61.09,1072.77,524.4168989306103
18,131072,320,113.3,1156.89,550.3106717770378
19,262144,160,171.89,1525.06,602.0982174698928
20,524288,80,276.05,1899.28,705.6733088556028
21,1048576,40,482.85,2171.62,912.823491627023
22,2097152,20,972.95,2155.45,1327.1238571698632
23,4194304,10,1906.18,2200.37,2155.724588255544
24,8388608,5,4393.81,1909.19,3812.926050426905
25,16777216,2,9592.24,1749.04,7127.328974769627
26,33554432,1,23281.07,1441.28,13756.134823455071
27,67108864,1,26655.49,2517.64,27013.74652082596
28,134217728,1,52928.6,2535.83,53528.96991556774
29,268435456,1,105596.38,2542.09,106559.41670505129
