,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,0.25,0.0,-127.56059015313906
1,1,1000,0.26,3.89,-127.56039548543447
2,2,1000,0.26,7.75,-127.56020081772988
3,4,1000,0.26,15.58,-127.5598114823207
4,8,1000,0.26,31.1,-127.55903281150232
5,16,1000,0.25,62.84,-127.5574754698656
6,32,1000,0.26,120.87,-127.55436078659211
7,64,1000,0.27,240.54,-127.54813142004517
8,128,1000,0.28,464.8,-127.53567268695129
9,256,1000,0.3,860.55,-127.5107552207635
10,512,1000,0.54,941.87,-127.46092028838795
11,1024,1000,0.6,1693.24,-127.36125042363683
12,2048,1000,0.73,2802.43,-127.16191069413462
13,4096,1000,0.93,4407.94,-126.76323123513018
14,8192,1000,1.52,5401.85,-125.9658723171213
15,16384,1000,2.41,6786.29,-124.37115448110353
16,32768,1000,3.66,8954.92,-121.181718809068
17,65536,640,5.95,11007.31,-114.80284746499694
18,131072,320,8.89,14752.03,-102.04510477685483
19,262144,160,15.89,16500.11,-76.52961940057058
20,524288,80,41.45,12649.59,-25.498648648002103
21,1048576,40,83.85,12504.75,76.56329285713485
22,2097152,20,162.72,12887.95,280.68717586740877
23,4194304,10,417.66,10042.41,688.9349418879566
24,8388608,5,1029.13,8151.19,1505.4304739290524
25,16777216,2,2176.6,7707.99,3138.4215380112437
26,33554432,1,5973.93,5616.81,6404.403666175626
27,67108864,1,12446.35,5391.85,12936.36792250439
28,134217728,1,25849.48,5192.28,26000.296435161923
29,268435456,1,52459.67,5116.99,52128.153460476984
