,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,5.4,0.0,-30.049172579579547
1,1,1000,5.49,0.18,-30.04897648401422
2,2,1000,5.48,0.36,-30.048780388448893
3,4,1000,5.5,0.73,-30.04838819731824
4,8,1000,5.48,1.46,-30.04760381505693
5,16,1000,5.47,2.92,-30.046035050534314
6,32,1000,5.52,5.8,-30.04289752148908
7,64,1000,5.52,11.59,-30.03662246339861
8,128,1000,5.58,22.93,-30.024072347217675
9,256,1000,5.62,45.51,-29.998972114855803
10,512,1000,5.67,90.37,-29.948771650132063
11,1024,1000,6.28,163.11,-29.848370720684578
12,2048,1000,6.14,333.72,-29.647568861789605
13,4096,1000,7.09,577.5,-29.245965143999662
14,8192,1000,7.59,1079.55,-28.44275770841978
15,16384,1000,9.89,1655.89,-26.836342837260013
16,32768,1000,15.94,2055.3,-23.623513094940478
17,65536,640,29.66,2209.53,-17.197853610301404
18,131072,320,39.84,3289.84,-4.346534641023261
19,262144,160,54.29,4828.87,21.356103297533025
20,524288,80,86.74,6044.54,72.7613791746456
21,1048576,40,150.97,6945.57,175.57193092887076
22,2097152,20,289.81,7236.19,381.19303443732105
23,4194304,10,595.85,7039.18,792.4352414542216
24,8388608,5,1503.87,5578.0,1614.9196554880227
25,16777216,2,3245.98,5168.62,3259.888483555625
26,33554432,1,6536.72,5133.22,6549.82613969083
27,67108864,1,13019.93,5154.32,13129.701451961238
28,134217728,1,25836.66,5194.85,26289.452076502057
29,268435456,1,52872.55,5077.03,52608.953325583694
