,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,5.39,0.0,-5.596307263439673
1,1,1000,5.46,0.18,-5.596119822017394
2,2,1000,5.47,0.37,-5.595932380595116
3,4,1000,5.48,0.73,-5.595557497750558
4,8,1000,5.45,1.47,-5.594807732061444
5,16,1000,5.45,2.94,-5.593308200683215
6,32,1000,5.49,5.83,-5.590309137926757
7,64,1000,5.47,11.71,-5.58431101241384
8,128,1000,5.55,23.07,-5.572314761388007
9,256,1000,5.6,45.73,-5.5483222593363415
10,512,1000,5.63,91.0,-5.50033725523301
11,1024,1000,6.28,163.1,-5.4043672470263475
12,2048,1000,6.12,334.58,-5.212427230613021
13,4096,1000,7.05,581.24,-4.82854719778637
14,8192,1000,7.56,1084.28,-4.060787132133067
15,16384,1000,9.7,1688.64,-2.5252670008264593
16,32768,1000,15.72,2084.5,0.5457732617867546
17,65536,640,29.58,2215.58,6.687853787013182
18,131072,320,39.74,3298.0,18.972014837466038
19,262144,160,54.2,4836.21,43.54033693837175
20,524288,80,86.57,6056.14,92.67698114018317
21,1048576,40,150.71,6957.65,190.950269543806
22,2097152,20,289.34,7247.94,387.4968463510517
23,4194304,10,573.87,7308.75,780.589999965543
24,8388608,5,1441.62,5818.87,1566.7763071945258
25,16777216,2,3148.88,5328.0,3139.1489216524915
26,33554432,1,6345.26,5288.11,6283.894150568422
27,67108864,1,12723.64,5274.34,12573.384608400283
28,134217728,1,25237.93,5318.1,25152.365524064007
29,268435456,1,50229.75,5344.15,50310.327355391455
