,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,9.14,0.0,15.185066855804209
1,1,1000,9.22,0.11,15.185380098004984
2,2,1000,9.15,0.22,15.18569334020576
3,4,1000,9.2,0.43,15.18631982460731
4,8,1000,9.17,0.87,15.18757279341041
5,16,1000,9.09,1.76,15.19007873101661
6,32,1000,9.2,3.48,15.195090606229014
7,64,1000,9.28,6.9,15.20511435665382
8,128,1000,9.42,13.59,15.22516185750343
9,256,1000,15.3,16.73,15.26525685920265
10,512,1000,17.92,28.58,15.34544686260109
11,1024,1000,23.85,42.94,15.505826869397973
12,2048,1000,20.85,98.22,15.826586882991736
13,4096,1000,20.74,197.49,16.468106910179262
14,8192,1000,21.09,388.38,17.75114696455432
15,16384,1000,21.87,749.25,20.31722707330443
16,32768,1000,28.17,1163.24,25.449387290804648
17,65536,640,45.64,1435.99,35.71370772580509
18,131072,320,63.94,2049.89,56.242348595805964
19,262144,160,97.36,2692.47,97.29963033580772
20,524288,80,169.09,3100.7,179.41419381581125
21,1048576,40,365.89,2865.81,343.64332077581827
22,2097152,20,734.24,2856.22,672.1015746958323
23,4194304,10,1445.13,2902.37,1329.0180825358605
24,8388608,5,3111.5,2696.0,2642.8510982159164
25,16777216,2,4938.9,3396.95,5270.517129576029
26,33554432,1,10361.81,3238.28,10525.849192296253
27,67108864,1,21431.6,3131.3,21036.513317736702
28,134217728,1,41107.12,3265.07,42057.8415686176
29,268435456,1,84501.3,3176.7,84100.4980703794
