,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,10.73,0.0,67.71669549780589
1,1,1000,10.72,0.09,67.71712754693384
2,2,1000,10.82,0.18,67.71755959606179
3,4,1000,10.65,0.38,67.7184236943177
4,8,1000,10.67,0.75,67.72015189082951
5,16,1000,9.47,1.69,67.72360828385314
6,32,1000,9.48,3.38,67.7305210699004
7,64,1000,9.53,6.71,67.74434664199492
8,128,1000,9.61,13.32,67.77199778618395
9,256,1000,9.67,26.46,67.82730007456202
10,512,1000,9.94,51.53,67.93790465131815
11,1024,1000,10.38,98.65,68.1591138048304
12,2048,1000,12.49,163.98,68.60153211185491
13,4096,1000,13.22,309.95,69.48636872590394
14,8192,1000,14.9,549.82,71.256041954002
15,16384,1000,18.6,880.72,74.79538841019811
16,32768,1000,28.51,1149.52,81.87408132259033
17,65536,640,62.47,1049.14,96.03146714737478
18,131072,320,88.25,1485.22,124.34623879694368
19,262144,160,179.82,1457.81,180.97578209608145
20,524288,80,268.0,1956.3,294.23486869435703
21,1048576,40,447.12,2345.2,520.7530418909082
22,2097152,20,806.97,2598.81,973.7893882840104
23,4194304,10,1501.23,2793.92,1879.862081070215
24,8388608,5,3347.73,2505.76,3692.0074666426244
25,16777216,2,7421.98,2260.48,7316.298237787442
26,33554432,1,14930.63,2247.36,14564.879780077079
27,67108864,1,30105.64,2229.11,29062.042864656352
28,134217728,1,59677.08,2249.07,58056.3690338149
29,268435456,1,114939.8,2335.44,116045.02137213199
