,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,1.13,0.0,5.146102494094526
1,1,1000,1.13,0.88,5.146184386940595
2,2,1000,1.13,1.76,5.146266279786663
3,4,1000,1.13,3.53,5.1464300654788
4,8,1000,1.13,7.08,5.146757636863074
5,16,1000,1.13,14.1,5.147412779631622
6,32,1000,1.15,27.85,5.148723065168718
7,64,1000,1.33,48.02,5.151343636242909
8,128,1000,1.38,92.45,5.156584778391292
9,256,1000,1.63,156.64,5.167067062688058
10,512,1000,1.72,298.17,5.18803163128159
11,1024,1000,1.89,540.82,5.229960768468653
12,2048,1000,2.61,784.27,5.3138190428427805
13,4096,1000,3.4,1204.58,5.481535591591035
14,8192,1000,4.38,1870.32,5.816968689087544
15,16384,1000,6.02,2722.05,6.487834884080562
16,32768,1000,9.45,3469.34,7.829567274066598
17,65536,640,12.86,5095.93,10.51303205403867
18,131072,320,21.96,5969.3,15.879961613982813
19,262144,160,32.42,8085.21,26.6138207338711
20,524288,80,54.16,9680.06,48.081538973647675
21,1048576,40,97.08,10801.05,91.01697545320081
22,2097152,20,185.56,11301.83,176.8878484123071
23,4194304,10,353.06,11879.98,348.6295943305197
24,8388608,5,695.18,12066.88,692.1130861669449
25,16777216,2,1384.87,12114.67,1379.0800698397952
26,33554432,1,2758.13,12165.66,2753.014037185496
27,67108864,1,5505.54,12189.33,5500.881971876897
28,134217728,1,10987.51,12215.48,10996.6178412597
29,268435456,1,21990.2,12207.05,21988.089580025306
