,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,12.73,0.0,129.49577734894868
1,1,1000,12.68,0.08,129.49613731882687
2,2,1000,12.72,0.16,129.4964972887051
3,4,1000,12.66,0.32,129.4972172284615
4,8,1000,12.63,0.63,129.4986571079743
5,16,1000,12.62,1.27,129.50153686699994
6,32,1000,12.71,2.52,129.5072963850512
7,64,1000,12.69,5.04,129.5188154211537
8,128,1000,12.49,10.25,129.54185349335873
9,256,1000,20.7,12.37,129.58792963776878
10,512,1000,31.69,16.16,129.6800819265889
11,1024,1000,45.47,22.52,129.86438650422915
12,2048,1000,32.2,63.61,130.2329956595096
13,4096,1000,30.47,134.42,130.97021397007052
14,8192,1000,47.95,170.85,132.44465059119239
15,16384,1000,28.55,573.8,135.3935238334361
16,32768,1000,54.45,601.82,141.2912703179235
17,65536,640,57.11,1147.52,153.0867632868983
18,131072,320,115.91,1130.84,176.67774922484796
19,262144,160,161.02,1628.07,223.85972110074724
20,524288,80,258.34,2029.45,318.22366485254577
21,1048576,40,470.32,2229.49,506.9515523561429
22,2097152,20,881.92,2377.95,884.4073273633371
23,4194304,10,1825.76,2297.29,1639.3188773777256
24,8388608,5,3281.09,2556.66,3149.1419774065025
25,16777216,2,7609.96,2204.64,6168.788177464056
26,33554432,1,12357.16,2715.38,12208.080577579165
27,67108864,1,24521.6,2736.72,24286.66537780938
28,134217728,1,48781.2,2751.42,48443.83497826981
29,268435456,1,96415.43,2784.15,96758.17417919067
