,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,0.99,0.0,3.7075129099122517
1,1,1000,0.98,1.02,3.707595076041391
2,2,1000,0.99,2.02,3.7076772421705306
3,4,1000,0.99,4.04,3.707841574428809
4,8,1000,0.98,8.15,3.7081702389453666
5,16,1000,0.99,16.19,3.708827567978482
6,32,1000,1.0,31.84,3.710142226044712
7,64,1000,1.14,56.35,3.712771542177172
8,128,1000,1.18,108.92,3.7180301744420925
9,256,1000,1.41,181.74,3.7285474389719337
10,512,1000,1.48,345.09,3.7495819680316154
11,1024,1000,1.63,626.42,3.7916510261509795
12,2048,1000,2.32,882.58,3.8757891423897073
13,4096,1000,3.22,1273.91,4.044065374867163
14,8192,1000,4.52,1812.34,4.380617839822074
15,16384,1000,6.41,2556.84,5.0537227697318965
16,32768,1000,8.51,3850.56,6.39993262955154
17,65536,640,12.32,5318.17,9.09235234919083
18,131072,320,18.5,7086.12,14.477191788469407
19,262144,160,31.97,8198.84,25.246870667026563
20,524288,80,54.32,9650.96,46.78622842414087
21,1048576,40,96.85,10826.55,89.86494393836949
22,2097152,20,186.01,11274.5,176.02237496682673
23,4194304,10,352.24,11907.62,348.3372370237412
24,8388608,5,692.4,12115.22,692.9669611375701
25,16777216,2,1380.53,12152.71,1382.2264093652282
26,33554432,1,2759.77,12158.43,2760.7453058205438
27,67108864,1,5517.38,12163.16,5517.783098731175
28,134217728,1,11013.41,12186.75,11031.858684552439
29,268435456,1,22069.39,12163.25,22060.009856194967
