,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,0.55,0.0,-126.8259567320509
1,1,1000,0.6,1.66,-126.8257029248396
2,2,1000,0.61,3.29,-126.82544911762832
3,4,1000,0.6,6.68,-126.82494150320575
4,8,1000,0.6,13.44,-126.8239262743606
5,16,1000,0.67,23.81,-126.82189581667029
6,32,1000,0.75,42.94,-126.8178349012897
7,64,1000,0.83,76.65,-126.80971307052849
8,128,1000,0.97,132.63,-126.79346940900608
9,256,1000,1.21,211.79,-126.76098208596126
10,512,1000,1.03,499.16,-126.69600743987164
11,1024,1000,1.45,708.09,-126.56605814769236
12,2048,1000,1.67,1228.53,-126.30615956333384
13,4096,1000,2.78,1474.48,-125.78636239461677
14,8192,1000,3.46,2365.58,-124.74676805718263
15,16384,1000,3.68,4451.9,-122.66757938231439
16,32768,1000,5.03,6509.61,-118.50920203257786
17,65536,640,6.47,10132.16,-110.19244733310482
18,131072,320,10.8,12135.06,-93.55893793415876
19,262144,160,20.06,13067.13,-60.291919136266614
20,524288,80,39.86,13154.09,6.24211845951767
21,1048576,40,91.4,11472.93,139.31019365108625
22,2097152,20,213.33,9830.68,405.4463440342234
23,4194304,10,405.56,10341.92,937.7186448004976
24,8388608,5,875.61,9580.33,2002.2632463330463
25,16777216,2,3233.92,5187.88,4131.352449398143
26,33554432,1,8451.41,3970.28,8389.530855528337
27,67108864,1,17030.99,3940.4,16905.887667788727
28,134217728,1,34031.33,3943.95,33938.601292309504
29,268435456,1,68019.7,3946.44,68004.02854135106
