,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,6.29,0.0,199.28488488520293
1,1,1000,6.33,0.16,199.28509757848033
2,2,1000,6.34,0.32,199.28531027175774
3,4,1000,6.34,0.63,199.28573565831257
4,8,1000,6.37,1.26,199.28658643142222
5,16,1000,6.34,2.53,199.2882879776415
6,32,1000,6.35,5.04,199.29169107008008
7,64,1000,6.37,10.05,199.2984972549572
8,128,1000,6.41,19.97,199.31210962471147
9,256,1000,10.58,24.2,199.33933436422004
10,512,1000,12.11,42.28,199.39378384323712
11,1024,1000,15.15,67.59,199.5026828012713
12,2048,1000,13.32,153.73,199.7204807173397
13,4096,1000,13.96,293.42,200.1560765494765
14,8192,1000,13.94,587.57,201.02726821375006
15,16384,1000,14.24,1150.44,202.7696515422972
16,32768,1000,15.37,2131.27,206.25441819939147
17,65536,640,22.74,2882.06,213.22395151357998
18,131072,320,29.15,4497.23,227.16301814195705
19,262144,160,45.19,5800.38,255.04115139871118
20,524288,80,90.53,5791.09,310.79741791221943
21,1048576,40,196.94,5324.23,422.30995093923593
22,2097152,20,335.81,6245.07,645.3350169932689
23,4194304,10,858.67,4884.67,1091.3851491013347
24,8388608,5,1781.11,4709.77,1983.4854133174667
25,16777216,2,3047.58,5505.09,3767.685941749731
26,33554432,1,6268.51,5352.85,7336.086998614258
27,67108864,1,12553.05,5346.02,14472.889112343313
28,134217728,1,44865.69,2991.54,28746.493339801425
29,268435456,1,49906.6,5378.76,57293.70179471764
