,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,0.22,0.0,-94.8875298123306
1,1,1000,0.22,4.45,-94.88734684044216
2,2,1000,0.22,8.95,-94.88716386855374
3,4,1000,0.22,17.8,-94.88679792477689
4,8,1000,0.22,35.62,-94.88606603722317
5,16,1000,0.23,70.96,-94.88460226211575
6,32,1000,0.24,133.89,-94.88167471190089
7,64,1000,0.24,266.88,-94.87581961147119
8,128,1000,0.25,503.48,-94.86410941061177
9,256,1000,0.28,914.26,-94.84068900889294
10,512,1000,0.42,1220.27,-94.79384820545528
11,1024,1000,0.44,2311.72,-94.70016659857997
12,2048,1000,0.6,3438.45,-94.51280338482933
13,4096,1000,0.84,4864.32,-94.13807695732807
14,8192,1000,1.47,5582.71,-93.38862410232554
15,16384,1000,2.41,6811.14,-91.88971839232048
16,32768,1000,3.61,9086.84,-88.89190697231035
17,65536,640,5.78,11336.92,-82.8962841322901
18,131072,320,8.66,15141.65,-70.9050384522496
19,262144,160,14.95,17534.21,-46.92254709216861
20,524288,80,40.38,12984.15,1.0424356279933846
21,1048576,40,81.14,12922.94,96.97240106831737
22,2097152,20,155.1,13521.68,288.83233194896536
23,4194304,10,402.92,10409.9,672.5521937102612
24,8388608,5,1111.16,7549.4,1439.9919172328532
25,16777216,2,2560.27,6552.9,2974.8713642780367
26,33554432,1,5904.12,5683.22,6044.630258368405
27,67108864,1,11806.62,5684.0,12184.148046549139
28,134217728,1,23752.7,5650.63,24463.18362291061
29,268435456,1,49529.73,5419.68,49021.25477563355
